arxiv_id,title,authors,published,iaifi_theme
2502.01628,Harmonic Loss Trains Interpretable AI Models,David D. Baek; Ziming Liu; Riya Tyagi; Max Tegmark,2025-02-01,AI
2502.00873,Language Models Use Trigonometry to Do Addition,Subhash Kantamneni; Max Tegmark,2025-02-01,AI
2501.19406,Low-Rank Adapting Models for Sparse Autoencoders,Matthew Chen; Joshua Engels; Max Tegmark,2025-01-01,AI
2501.14048,SIDDA: SInkhorn Dynamic Domain Adaptation for Image Classification with Equivariant Neural Networks,Sneh Pandya; Purvik Patel; Brian D. Nord; Mike Walmsley; Aleksandra Ćiprijanović,2025-01-01,AI
2501.12391,Physics of Skill Learning,Ziming Liu; Yizhou Liu; Eric J. Michaud; Jeff Gore; Max Tegmark,2025-01-01,AI
2501.09080,Average-Reward Soft Actor-Critic,Jacob Adamczyk; Volodymyr Makarenko; Stas Tiomkin; Rahul V. Kulkarni,2025-01-01,AI
2501.09081,Inferring Transition Dynamics from Value Functions,Jacob Adamczyk,2025-01-01,AI
2501.07446,Synthesis and Analysis of Data as Probability Measures with Entropy-Regularized Optimal Transport,Brendan Mallery; James M. Murphy; Shuchin Aeron,2025-01-01,AI
2501.02932,Predicting band gap from chemical composition: A simple learned model for a material property with atypical statistics,Andrew Ma; Owen Dugan; Marin Soljačić,2025-01-01,AI
2501.00989,Bootstrapped Reward Shaping,Jacob Adamczyk; Volodymyr Makarenko; Stas Tiomkin; Rahul V. Kulkarni,2025-01-01,AI
2412.15184,Data for Mathematical Copilots: Better Ways of Presenting Proofs for Machine Learning,Simon Frieder; Jonas Bayer; Katherine M. Collins; Julius Berner; Jacob Loader; András Juhász; Fabian Ruehle; Sean Welleck; Gabriel Poesia; Ryan-Rhys Griffiths; Adrian Weller; Anirudh Goyal; Thomas Lukasiewicz; Timothy Gowers,2024-12-01,AI
2412.02798,Grayscale to Hyperspectral at Any Resolution Using a Phase-Only Lens,Dean Hazineh; Federico Capasso; Todd Zickler,2024-12-01,AI
2411.02387,The -Geometric Hilbert Scheme – Part II: Hilbert and Quot DG-Schemes,Jacob Kryczka; Artan Sheshmani,2024-11-01,AI
2411.02393,Adaptive Length Image Tokenization via Recurrent Allocation,Shivam Duggal; Phillip Isola; Antonio Torralba; William T. Freeman,2024-11-01,AI
2411.02214,DexHub and DART: Towards Internet Scale Robot Data Collection,Younghyo Park; Jagdeep Singh Bhatia; Lars Ankile; Pulkit Agrawal,2024-11-01,AI
2410.23602,"Linearized Wasserstein Barycenters: Synthesis, Analysis, Representational Capacity, and Applications",Matthew Werenski; Brendan Mallery; Shuchin Aeron; James M. Murphy,2024-10-01,AI
2410.21726,Multi-rigidity of Schubert classes in partial flag varieties,Yuxiang Liu; Artan Sheshmani; Shing-Tung Yau,2024-10-01,AI
2410.20942,Relative Monoidal Bondal-Orlov,Artan Sheshmani; Angel Toledo,2024-10-01,AI
2410.20516,A Cosmic-Scale Benchmark for Symmetry-Preserving Data Processing,Julia Balla; Siddharth Mishra-Sharma; Carolina Cuesta-Lazaro; Tommi Jaakkola; Tess Smidt,2024-10-01,AI
2410.14670,Decomposing The Dark Matter of Sparse Autoencoders,Joshua Engels; Logan Riggs; Max Tegmark,2024-10-01,AI
2410.08439,Reinforcement Learning for Control of Non-Markovian Cellular Population Dynamics,Josiah C. Kratz; Jacob Adamczyk,2024-10-01,AI
2410.08201,Efficient Dictionary Learning with Switch Sparse Autoencoders,Anish Mudide; Joshua Engels; Eric J. Michaud; Max Tegmark; Christian Schroeder de Witt,2024-10-01,AI
2410.08255,Investigating Representation Universality: Case Study on Genealogical Representations,David D. Baek; Yuxiao Li; Max Tegmark,2024-10-01,AI
2410.19750,The Geometry of Concepts: Sparse Autoencoder Feature Structure,Yuxiao Li; Eric J. Michaud; David D. Baek; Joshua Engels; Xiaoqing Sun; Max Tegmark,2024-10-01,AI
2410.06231,RelitLRM: Generative Relightable Radiance for Large Reconstruction Models,Tianyuan Zhang; Zhengfei Kuang; Haian Jin; Zexiang Xu; Sai Bi; Hao Tan; He Zhang; Yiwei Hu; Milos Hasan; William T. Freeman; Kai Zhang; Fujun Luan,2024-10-01,AI
2410.14706,"Transformers are Efficient Compilers, Provably",Xiyu Zhai; Runlong Zhou; Liao Zhang; Simon Shaolei Du,2024-10-01,AI
2410.03006,Formation of Representations in Neural Networks,Liu Ziyin; Isaac Chuang; Tomer Galanti; Tomaso Poggio,2024-10-01,AI
2409.16143,Seeing Faces in Things: A Model and Dataset for Pareidolia,Mark Hamilton; Simon Stent; Vasha DuTell; Anne Harrington; Jennifer Corbett; Ruth Rosenholtz; William T. Freeman,2024-09-01,AI
2408.15495,Remove Symmetries to Control Model Expressivity,Liu Ziyin; Yizhou Xu; Isaac Chuang,2024-08-01,AI
2408.15136,Low-Budget Simulation-Based Inference with Bayesian Neural Networks,Arnaud Delaunoy; Maxence de la Brassinne Bonardeaux; Siddharth Mishra-Sharma; Gilles Louppe,2024-08-01,AI
2311.12163,Quantum inception score,Akira Sone; Akira Tanji; and Naoki Yamamoto,2023-11-01,AI
2408.10205,KAN 2.0: Kolmogorov-Arnold Networks Meet Science,Ziming Liu; Pingchuan Ma; Yixuan Wang; Wojciech Matusik; Max Tegmark,2024-08-01,AI
2407.20471,Relaxed Equivariant Graph Neural Networks,Elyssa Hofgard; Rui Wang; Robin Walters; Tess Smidt,2024-07-01,AI
2407.16186,Automatic Environment Shaping is the Next Frontier in RL,Younghyo Park; Gabriel B. Margolis; Pulkit Agrawal,2024-07-01,AI
2407.03524,A multicategory jet image classification framework using deep neural network,Jairo Orozco Sandoval; Vidya Manian; Sudhir Malik,2024-07-01,AI
2406.18033,Boosting Soft Q-Learning by Bounding,Jacob Adamczyk; Volodymyr Makarenko; Stas Tiomkin; Rahul V. Kulkarni,2024-06-01,AI
2406.16825,Derived Moduli Spaces of Nonlinear PDEs II: Variational Tricomplex and BV Formalism,Jacob Kryczka; Artan Sheshmani; Shing-Tung Yau,2024-06-01,AI
2406.06742,An Elliptic Kernel Unsupervised Autoencoder-Graph Convolutional Network Ensemble Model for Hyperspectral Unmixing,Estefania Alfaro-Mejia; Carlos J Delgado; Vidya Manian,2024-06-01,AI
2406.05629,Separating the ‘Chirp’ from the ‘Chat’: Self-supervised Visual Grounding of Sound and Language,Mark Hamilton; Andrew Zisserman; John R. Hershey; William T. Freeman,2024-06-01,AI
2406.06576,OccamLLM: Fast and Exact Language Model Arithmetic in a Single Step,Owen Dugan; Donato Manuel Jimenez Beneto; Charlotte Loh; Zhuo Chen; Rumen Dangovski; Marin Soljačić,2024-06-01,AI
2406.00230,"Sheaf stable pairs, Quot-schemes, and birational geometry",Caucher Birkar; Jia Jia; Artan Sheshmani,2024-06-01,AI
2405.21046,Exploratory Preference Optimization: Harnessing Implicit Q,Tengyang Xie; Dylan J. Foster; Akshay Krishnamurthy; Corby Rosset; Ahmed Awadallah; Alexander Rakhlin,2024-05-01,AI
2405.17420,Survival of the Fittest Representation: A Case Study with Modular Addition,Xiaoman Delores Ding; Zifan Carl Guo; Eric J. Michaud; Ziming Liu; Max Tegmark,2024-05-01,AI
2405.17209,How Do Transformers ‘Do’ Physics? Investigating the Simple Harmonic Oscillator,Subhash Kantamneni; Ziming Liu; Max Tegmark,2024-05-01,AI
